epa_file_#,named_entity_x,clean_date_received_x,detailed_status,simplified status,Reason for rejection (if applicable),Date of EPA decision,"Presidential administration (considering, if pending; decided, if not)",Environmental Justice Issue(s) Cited,Alleged Discrimination Basis,City,State,ZIP code,Community Impacted,Filed by a lawyer?,Group filing,Filed on behalf of,Is this an EPA-initiated compliance review?,Does the complaint seem to be about an environmental justice matter? ,Notes on EJ categorization,Is there more than one complaint about the matter?,All related complaint numbers,"Total related complaints (includes situations where they're all unique, e.g. complaints filed at different times)","Count this as a unique complaint? (If part of a split complaint, the case with the highest EPA action status is marked ""yes"")",Complaint link,Notes,Additional notes,status check
01rno-21-r5,illinois epa,2021-01-06,pending: in informal resolution agreement negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,Issuing a permit for a metal shredder and related operations,"Title VI: Race, National Origin",Chicago,IL,60617,Residents of color,Yes,Greater Chicago Legal Clinic; Environmental Advocacy Clinic at the Northwestern Pritzker School of Law,Southeast Environmental Task Force; Chicago Southeast Side Coalition to Ban Petcoke,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-06/01RNO-21-R5%20Complaint_Redacted.pdf,"From the complaint: ""These commentators assert that the EJ area where the facility will operate is already characterized by air quality challenges like toxic metal emissions to which the facility will add. This concern includes emissions from several colocated and co-owned scrap processing facilities that were not included by Illinois EPA in its permitting process. Commentators expressed concerns about the air quality impacts posed by the hundreds of trucks that are needed to bring materials to the facility and to remove processed materials from the facility, especially on local PM-10 ambient air quality conditions. Because the permitted facility is transferring the business, operations and equipment from an existing metal shredder on Chicago’s northside, dozens of commentators provided detailed information about the troubled compliance history of this northside operation and urged Illinois EPA to develop measures to address recurrent problems. Equally important, they questioned Illinois EPA’s permitting process, which occurred during a pandemic, a period of local civil unrest and without translation services in a community where many residents are Spanish-speaking. """,,Pending: In Informal Resolution Agreement Negotiation
01r-21-r9,"bay area air quality monitoring district, ca",2020-11-30,resolved with voluntary compliance agreement 10/03/2022: in monitoring,resolved: voluntary compliance agreement,,10/3/2022,Biden,"Agencies failed to ""mitigate and monitor the surrounding community’s exposure to dust disturbances"" from redevelopment of a former Navy site contaminated with radionuclides, oils, solvents and asbestos.",Title VI: Race,San Francisco,CA,94124,"Asian, Black and Latino residents",Unclear,Redacted groups or individuals,,No,Yes,,Yes,"01r-21-r9, 02r-21-r9",2,yes,https://www.epa.gov/system/files/documents/2022-06/01R-21-R9%20Complaint_Redacted_1.pdf,,,Resolved with Voluntary Compliance Agreement 10/03/2022: In Monitoring
02r-21-r9,"san francisco dept. of public health, ca",2020-11-30,rejected 12/22/2020: lack of jurisdiction,rejected,Lack of jurisdiction,12/22/2020,Trump,"Agencies failed to ""mitigate and monitor the surrounding community’s exposure to dust disturbances"" from redevelopment of a former Navy site contaminated with radionuclides, oils, solvents and asbestos.",Title VI: Race,San Francisco,CA,94124,"Asian, Black and Latino residents",Unclear,Redacted groups or individuals,,No,Yes,,Yes,"01r-21-r9, 02r-21-r9",2,no,https://www.epa.gov/system/files/documents/2022-06/02R-21-R9%20Complaint_Redacted.pdf,,,Rejected 12/22/2020: Lack of Jurisdiction
01rno-20-r7,missouri dnr,2020-09-09,pending: partial prelim findings issued 3/30/2021 on issue 2; voluntary compliance agreement to resolve partial preliminary findings of non-compliance issued 6/22/2022; issue 1 is in informal resolution negotiation,"pending with partial action (voluntary compliance agreement, informal resolution negotiation)",,Multiple; first on 3/30/21,Biden,"Agency permit means ""residents near and within the Kinder Morgan facility, more of whom are minority-race and low income than residents of other areas in St. Louis, will be disproportionately exposed to air pollutants that are likely to threaten human health in violation of Title VI.""","Title VI: Race, National Origin",St. Louis,MO,63104,"Primarily residents of color (majority Black, also Hispanic and Asian)",Yes,Great Rivers Environmental Law Center,Dutchtown South Community Corporation; the St. Louis Branch of the NAACP,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-08/01RNO-20-R7%20Complaint_Redacted_0.pdf,Unredacted complaint: https://greatriverslaw.org/wp-content/uploads/2021/04/MDNR-Title-VI-Complaint-MO-STL-NAACP-DSCC-1.pdf,,Pending: Partial Prelim Findings Issued 3/30/2021 on Issue 2; Voluntary Compliance Agreement to Resolve Partial Preliminary Findings of Non-Compliance Issued 6/22/2022; Issue 1 is in Informal Resolution Negotiation
01cr-20-r1,mass. eea (compliance review),2020-08-10,pending: in informal resolution negotiation,pending: in informal resolution agreement negotiation,,Not yet decided,Biden,"ECRCO will review whether the agency ""has and is taking reasonable steps, including implementing specific policies and procedures, to ensure meaningful access for individuals with limited English proficiency (LEP) to EEA programs and activities,"" and has/is implementing safeguards including ""public participation and specific policies and procedures to ensure meaningful access to EEA programs and activities for individuals with disabilities.""",Title VI: National Origin,N/A,MA,N/A,Limited English proficiency residents,Yes (EPA),EPA,,Yes,N/A (EPA initiated),,,,1,N/A,https://www.epa.gov/system/files/documents/2022-08/01CR-20-R1%20EEA%20Compliance%20Review%20Initiation_0.pdf,"""If EEA agrees to engage in the informal resolution agreement process, ECRCO will suspend its compliance review investigation. In the event that the informal resolution agreement process fails to result in an Informal Resolution Agreement between ECRCO and EEA, ECRCO will notify EEA that ECRCO has resumed its compliance review investigation.""",,Pending: In Informal Resolution Negotiation
04dr-20-r6,"city of colleyville, tx",2020-07-09,"rejected 7/31/2020: lack of jurisdiction, provided dhs info",rejected,Lack of jurisdiction,7/31/2020,Trump,"""Title VI retaliatory and/or wrongful tree taking in response to my protective action and advocating for my property’s rights related to repetitive flooding on my private property which has been long-term beginning 2008 and on-going""","Section 504: Disability, Retaliation",Colleyville,TX,not mentioned,Resident with disabilities,No,Redacted individual,,No,No,The complaint mentions flooding but is focused on cutting trees on her property,,,1,yes,https://www.epa.gov/system/files/documents/2022-08/04Dr-20-R6%20Complaint_Redacted.pdf,,,"Rejected 7/31/2020: Lack of Jurisdiction, Provided DHS Info"
01no-20-r1,mass. eea,2020-06-01,rejected: converted to compliance review 7/27/2020,rejected but converted to compliance review,,7/27/2020,Trump,"Massachusetts Energy Facilities Siting Board ""rebuffed—as “disruptive”—the attempts of non-English speaking residents to fully participate in these decisions, in direct contravention of federal law. ... After the evidentiary hearings concluded in July, counsel for GreenRoots and CLF wrote to the Secretary of EEA and Chair of the Board Kathleen Theoharides, documenting the failings in the interpretation provided during the hearings and urging her to take corrective action. Secretary Theoharides did not respond for two and a half months,"" then cited as ""enhancements"" the subpar interpretation the groups had written about.",Title VI: National Origin,Chelsea and East Boston,MA,not mentioned,Limited English proficiency residents,Yes,GreenRoots Inc.; Conservation Law Foundation,,No,Yes,,Yes,"01no-20-r1, 02no-20-r1, 03no-20-r1",3,yes,https://www.epa.gov/system/files/documents/2022-08/01NO-20-R1%20Complaint_Redacted.pdf,"""As recipients of federal financial assistance, the Respondent entities—the Board, the Massachusetts Executive Office of Energy and Environmental Affairs (“EEA”), and the Massachusetts Department of Public Utilities (“DPU”)—are bound by Title VI of the Civil Rights Act of 1964, 42 U.S.C. § 2000d et seq., to ensure that no residents are unlawfully excluded from their public decision-making processes. This mandate includes ensuring the meaningful involvement of LEP residents."" (Did the EPA dismiss the non-EEA part of the complaint because the others received federal funding but not EPA funding?)",,Rejected: Converted to Compliance Review 7/27/2020
02no-20-r1,mass. dept. of public utilities,2020-06-01,rejected 6/29/2020: lack of jurisdiction,rejected,Lack of jurisdiction,6/29/2020,Trump,"Massachusetts Energy Facilities Siting Board ""rebuffed—as “disruptive”—the attempts of non-English speaking residents to fully participate in these decisions, in direct contravention of federal law."" (The board is part of, though independent from, DPU.)",Title VI: National Origin,Chelsea and East Boston,MA,not mentioned,Limited English proficiency residents,Yes,GreenRoots Inc.; Conservation Law Foundation,,No,Yes,,Yes,"01no-20-r1, 02no-20-r1, 03no-20-r1",3,no,https://www.epa.gov/system/files/documents/2022-08/02NO-20-R1%20Complaint_Redacted_0.pdf,,,Rejected 6/29/2020: Lack of Jurisdiction
03no-20-r1,mass. energy facilities siting board,2020-06-01,rejected 6/29/2020: lack of jurisdiction,rejected,Lack of jurisdiction,6/29/2020,Trump,"Massachusetts Energy Facilities Siting Board ""rebuffed—as “disruptive”—the attempts of non-English speaking residents to fully participate in these decisions, in direct contravention of federal law.""",Title VI: National Origin,Chelsea and East Boston,MA,not mentioned,Limited English proficiency residents,Yes,GreenRoots Inc.; Conservation Law Foundation,,No,Yes,,Yes,"01no-20-r1, 02no-20-r1, 03no-20-r1",3,no,https://www.epa.gov/system/files/documents/2022-08/03NO-20-R1%20Complaint_Redacted.pdf,,,Rejected 6/29/2020: Lack of Jurisdiction
04x-20-r4,north carolina deq,2020-04-02,rejected 4/6/2020: correspondent contacted ncdeq directly to resolve,rejected,complainant contacted state agency directly to resolve,4/6/2020,Trump,Notice and demographic-inaccuracy concerns about a permit for Carolina Sunrock LLC ,Title VI: Race,North Burlington,NC,27127,People of color,No,Anderson Community Group,,No,Yes,,Yes,"04rda-22-r4, 04x-20-r4",2,yes,https://www.epa.gov/system/files/documents/2022-08/04X-20-R4%20Correspondence_Redacted.pdf,"From complaint: ""I am resending this email because the attached preliminary demographics by the citizens door to door campaign was substantially different when compared to the NCDEQ Environmental Injustice EJ report submitted on the NCDEQ draft permit. ... Again, I ask has any Environmental Injustice/Racism concern that has been brought to NCDEQ ever stopped a NCDEQ Air Permit in North Carolina? If yes, when and who? Again, I ask has a imminent health risk filed with the NCDEQ for an air permit every successfully stoped an air permit in North Carolina? If yes, when and who?"" Site info: https://deq.nc.gov/about/divisions/air-quality/air-quality-permitting/asphalt-plants/carolina-sunrock-permits // https://files.nc.gov/ncdeq/Air%20Quality/permits/carolina-sunrock/202107XX.R00draft_updated.pdf",,Rejected 4/6/2020: Correspondent Contacted NCDEQ directly to resolve
02no-20-r3,wv dept. of health and human resources,2020-03-19,Resolved with Informal Resolution Agreement 2/10/2023: In Monitoring,resolved: informal resolution agreement,,2/10/2023,Biden,"DHHR lacks a nondiscrimination policy and program at DHHR, most problematic for limited English proficiency residents whose ""very lives may be at risk if they cannot read mailed Boil Water Notices or Consumer Confidence Reports provided to them by their public wate utilities.""",Title VI: National Origin,N/A,WV,N/A,Limited English proficiency residents,No,Rural Agricultural Defenders,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-08/02NO-20-R3%20Complaint%20%28NR%29.pdf,,,Resolved with Informal Resolution Agreement 2/10/2023: In Monitoring
03r-20-r4,kennesaw state univ.,2020-02-11,"rejected 3/3/2020: same complaint pending with lead agency, u.s. dept. of education",rejected,pending with another agency,3/3/2020,Trump,"None listed. Complaint by a white parent about a professor's discussion guidelines, which touch on race and racism.  ",Title VI: Race,Kennesaw,GA,30144,N/A,No,Redacted individual,,No,No,Not an environmental complaint,,,1,yes,https://www.epa.gov/system/files/documents/2022-08/03R-20-R4%20Complaint_Redacted.pdf,,,"Rejected 3/3/2020: Same Complaint Pending with Lead Agency, U.S. Dept. of Education"
02r-20-r4,north carolina deq,2020-02-06,rejected without prejudice 3/2/2020: not ripe for review,rejected,not ripe for review,3/2/2020,Trump,"Agency approved and would not revoke a permit issued to Atlantic Coast Pipeline, disproportionately impacting Native Americans and African Americans","Title VI: Race, National Origin",Multiple locations,NC,multiple,Native American and Black residents,Yes,Environmental Justice Clinic at Vermont Law School,Friends of the Earth; The North Carolina Climate Solutions Coalition,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-08/02R-20-R4%20Complaint_Redacted.pdf,"""EPA regulations state that complaints “must be filed within 180 calendar days of the alleged discriminatory acts, unless the OCR [now ECRCO] waives the time limit for good cause.” 40 CFR § 7.120(b)(2). Complainant Friends of the Earth filed a timely complaint on May 15, 2018, alleging that DEQ had failed to adequately assess the disproportionate impacts of the decision to grant the permits and that, in fact, DEQ’s action would have a disparate impact on the basis of race and national origin. Appendix A. EPA dismissed the claim as not ripe given that permits issued by federal agencies still needed to be modified. Appendix B at 2. Under this reasoning, a challenge to DEQ’s approval of the ACP may still not be ripe and Complainants would thus ask that ECRCO hold this complainant in abeyance or again dismiss without prejudice. In the alternative, EPA should waive the 180-day timeline in this instance, given Complainants’ good faith effort to notify DEQ of their claims, prior civil rights complaint filed with EPA, receipt of new information supporting their claims that was not disclosed at the time of DEQ’s 2018 decision, and subsequent Petition asking DEQ to rescind its approval."" // The pipeline was canceled in 2020 “due to ongoing delays and increasing cost uncertainty which threaten the economic viability of the project"": https://www.greentechmedia.com/articles/read/dominion-to-sell-natural-gas-business-and-cancel-atlantic-coast-pipeline",,Rejected without Prejudice 3/2/2020: Not Ripe for Review
